"data","wojewodztwo","teryt","KTS.powiat","powiat","ludnosc","zakazenia","zakazenia.10.tys","zgony","zgony.Covid","zgony.inne","zgony.10.tys"
2020-11-24,"kujawsko-pomorskie","0461","040410661000","Bydgoszcz",348190,162,4.65263218357793,9,0,9,0.25847956575433
2020-11-24,"kujawsko-pomorskie","0462","040410762000","Grudziądz",94368,33,3.4969481180061,0,0,0,0
2020-11-24,"kujawsko-pomorskie","0463","040410663000","Toruń",201447,49,2.43240157460771,2,0,2,0.0992816969227638
2020-11-24,"kujawsko-pomorskie","0464","040410864000","Włocławek",109883,20,1.82011776161918,0,0,0,0
2020-11-24,"lubelskie","0601","060610901000","bialski",110772,37,3.34019427292095,3,1,2,0.270826562669267
2020-11-24,"lubelskie","0602","060611002000","biłgorajski",100919,17,1.68451926792774,0,0,0,0
2020-11-24,"lubelskie","0603","060611003000","chełmski",78014,36,4.61455636167867,0,0,0,0
2020-11-24,"lubelskie","0604","060611004000","hrubieszowski",62847,17,2.70498194026763,0,0,0,0
2020-11-24,"lubelskie","0605","060611205000","janowski",45709,9,1.96897766304229,0,0,0,0
2020-11-24,"lubelskie","0606","060611006000","krasnostawski",63258,6,0.948496632836953,0,0,0,0
2020-11-24,"lubelskie","0607","060611207000","kraśnicki",95348,48,5.03419054411209,0,0,0,0
2020-11-24,"lubelskie","0608","060611108000","lubartowski",88352,33,3.73505976095618,0,0,0,0
2020-11-24,"lubelskie","0609","060611109000","lubelski",155566,60,3.85688389493848,0,0,0,0
2020-11-24,"lubelskie","0610","060611110000","łęczyński",57331,25,4.36064258429122,1,0,1,0.174425703371649
2020-11-24,"lubelskie","0611","060611211000","łukowski",106816,12,1.12342720191732,0,0,0,0
2020-11-24,"lubelskie","0612","060611212000","opolski",59208,21,3.5468179975679,1,0,1,0.168896095122281
2020-11-24,"lubelskie","0613","060610913000","parczewski",34711,8,2.3047448935496,0,0,0,0
2020-11-24,"lubelskie","0614","060611214000","puławski",113173,28,2.47408834262589,0,0,0,0
2020-11-24,"lubelskie","0615","060610915000","radzyński",58858,6,1.01940263005879,1,0,1,0.169900438343131
2020-11-24,"lubelskie","0616","060611216000","rycki",55988,9,1.60748731871115,2,1,1,0.357219404158034
2020-11-24,"lubelskie","0617","060611117000","świdnicki",71840,22,3.06236080178174,0,0,0,0
2020-11-24,"lubelskie","0618","060611018000","tomaszowski",82762,6,0.724970397042121,0,0,0,0
2020-11-24,"lubelskie","0619","060610919000","włodawski",38353,18,4.69324433551482,0,0,0,0
2020-11-24,"lubelskie","0620","060611020000","zamojski",106122,30,2.82693503703285,0,0,0,0
2020-11-24,"lubelskie","0661","060610961000","Biała Podlaska",57170,33,5.77225817736575,0,0,0,0
2020-11-24,"lubelskie","0662","060611062000","Chełm",61932,13,2.09907640638119,0,0,0,0
2020-11-24,"lubelskie","0663","060611163000","Lublin",339784,164,4.82659571963365,0,0,0,0
2020-11-24,"lubelskie","0664","060611064000","Zamość",63437,12,1.89164052524552,0,0,0,0
2020-11-24,"lubuskie","0801","020811301000","gorzowski",71836,7,0.974441784063701,0,0,0,0
2020-11-24,"lubuskie","0802","020811402000","krośnieński",54829,19,3.46531944773751,0,0,0,0
2020-11-24,"lubuskie","0803","020811303000","międzyrzecki",57565,18,3.1269000260575,0,0,0,0
2020-11-24,"lubuskie","0804","020811404000","nowosolski",86156,28,3.2499187520312,1,1,0,0.116068526858257
2020-11-24,"lubuskie","0805","020811305000","słubicki",46929,9,1.91779070510772,0,0,0,0
2020-11-24,"lubuskie","0806","020811306000","strzelecko-drezdenecki",49009,13,2.65257401701728,3,3,0,0.612132465465527
2020-11-24,"lubuskie","0807","020811307000","sulęciński",35193,6,1.70488449407553,0,0,0,0
