"data","wojewodztwo","teryt","KTS.wojewodztwo","ludnosc","zakazenia","zakazenia.10.tys","zgony","zgony.Covid","zgony.inne","zgony.10.tys"
2020-11-26,"kujawsko-pomorskie","04","040400000000",2072373,1207,5.82424109945459,24,1,23,0.115809267926189
2020-11-26,"lubelskie","06","060600000000",2108270,1027,4.87129257637779,30,5,25,0.142296764645894
2020-11-26,"lubuskie","08","020800000000",1011592,508,5.02178743999557,7,3,4,0.0691978584251358
2020-11-26,"³ódzkie","10","051000000000",2454779,1099,4.47698143091496,37,8,29,0.150726399402961
2020-11-26,"ma³opolskie","12","011200000000",3410901,914,2.67964388295058,40,14,26,0.117271067087553
2020-11-26,"mazowieckie","14","071400000000",5423168,1785,3.29143408428431,74,4,70,0.136451609096381
2020-11-26,"opolskie","16","031600000000",982626,587,5.97378860319186,23,0,23,0.234066674401044
2020-11-26,"podkarpackie","18","061800000000",2127164,649,3.05101064139859,69,10,59,0.324375553553934
2020-11-26,"podlaskie","20","062000000000",1178353,464,3.93769948394072,24,3,21,0.203674111238313
2020-11-26,"pomorskie","22","042200000000",2343928,1105,4.71430863064053,32,5,27,0.136522964869228
2020-11-26,"œl¹skie","24","012400000000",4517635,1824,4.03751077720976,69,3,66,0.152734782690501
2020-11-26,"œwiêtokrzyskie","26","052600000000",1233961,473,3.83318435509712,10,0,10,0.0810398383741463
2020-11-26,"warmiñsko-mazurskie","28","042800000000",1422737,1210,8.50473418488449,22,3,19,0.154631530634263
2020-11-26,"wielkopolskie","30","023000000000",3498733,1668,4.76744009903013,45,8,37,0.128617988283187
2020-11-26,"zachodniopomorskie","32","023200000000",1696193,991,5.84249551790392,23,3,20,0.135597776903925
2020-11-27,"dolnoœl¹skie","02","030200000000",2900163,1318,4.54457214991019,65,12,53,0.22412533364504
2020-11-27,"kujawsko-pomorskie","04","040400000000",2072373,1368,6.60112827179277,30,0,30,0.144761584907736
2020-11-27,"lubelskie","06","060600000000",2108270,802,3.80406684153358,37,11,26,0.17549934306327
2020-11-27,"lubuskie","08","020800000000",1011592,494,4.8833917231453,27,6,21,0.266906025354095
2020-11-27,"³ódzkie","10","051000000000",2454779,1001,4.07776015682063,43,11,32,0.175168518225062
2020-11-27,"ma³opolskie","12","011200000000",3410901,868,2.54478215579989,43,27,16,0.126066397119119
2020-11-27,"mazowieckie","14","071400000000",5423168,2057,3.79298594474669,81,7,74,0.149359193740633
2020-11-27,"opolskie","16","031600000000",982626,536,5.45477119473737,19,1,18,0.193359426679123
2020-11-27,"podkarpackie","18","061800000000",2127164,790,3.71386503344359,33,1,32,0.155136134308403
2020-11-27,"podlaskie","20","062000000000",1178353,491,4.16683285908382,25,5,20,0.21216053253991
2020-11-27,"pomorskie","22","042200000000",2343928,1258,5.36705905642153,30,8,22,0.127990279564901
2020-11-27,"œl¹skie","24","012400000000",4517635,1560,3.45313421735045,50,5,45,0.110677378761232
2020-11-27,"œwiêtokrzyskie","26","052600000000",1233961,406,3.29021743799034,19,1,18,0.153975692910878
2020-11-27,"warmiñsko-mazurskie","28","042800000000",1422737,1065,7.48557182388593,30,0,30,0.210861178137632
2020-11-27,"wielkopolskie","30","023000000000",3498733,2072,5.92214381606141,25,10,15,0.0714544379351039
2020-11-27,"zachodniopomorskie","32","023200000000",1696193,915,5.39443329856921,22,7,15,0.129702221386363
2020-11-28,"dolnoœl¹skie","02","030200000000",2900163,1481,5.10660952505083,30,1,29,0.103442461682326
2020-11-28,"kujawsko-pomorskie","04","040400000000",2072373,1004,4.84468770824557,29,3,26,0.139936198744145
2020-11-28,"lubelskie","06","060600000000",2108270,937,4.44440228244011,37,13,24,0.17549934306327
2020-11-28,"lubuskie","08","020800000000",1011592,398,3.93439252188629,20,5,15,0.19770816692896
2020-11-28,"³ódzkie","10","051000000000",2454779,658,2.68048569749049,60,8,52,0.244421188221017
2020-11-28,"ma³opolskie","12","011200000000",3410901,661,1.93790438362181,42,15,27,0.12313462044193
2020-11-28,"mazowieckie","14","071400000000",5423168,1986,3.6620661576407,60,6,54,0.110636439807876
2020-11-28,"opolskie","16","031600000000",982626,429,4.36585231817599,18,0,18,0.183182614748643
2020-11-28,"podkarpackie","18","061800000000",2127164,713,3.35188072005732,51,14,37,0.239755843931168
2020-11-28,"podlaskie","20","062000000000",1178353,481,4.08196864606786,15,0,15,0.127296319523946
2020-11-28,"pomorskie","22","042200000000",2343928,1026,4.37726756111963,44,3,41,0.187719076695189
2020-11-28,"œl¹skie","24","012400000000",4517635,1402,3.10339370046496,54,1,53,0.119531569062131
2020-11-28,"œwiêtokrzyskie","26","052600000000",1233961,310,2.51223498959854,16,1,15,0.129663741398634
2020-11-28,"warmiñsko-mazurskie","28","042800000000",1422737,950,6.67727064102501,47,3,44,0.33034917908229
2020-11-28,"wielkopolskie","30","023000000000",3498733,1748,4.99609430042247,60,8,52,0.171490651044249
2020-11-28,"zachodniopomorskie","32","023200000000",1696193,902,5.3177910768409,16,4,12,0.0943288882809916
